epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,238.171,1.14565,2.03228,0.99009,1.20244,0.22313,0.26981,0.21047,0.12662,0.15589,0.21612,0.1579,0.08399,2.53793,6.2873,3.58609,2.52081,0.000387052,0.000387052,0.000387052
31,244.865,1.20996,2.10356,1.03,1.1936,0.40137,0.22553,0.21692,0.12011,0.33267,0.16657,0.14004,0.06949,2.59849,6.20738,3.5513,2.57775,0.000369054,0.000369054,0.000369054
32,251.758,1.07312,1.80939,0.90854,1.18829,0.23995,0.30669,0.23804,0.13845,0.44179,0.15939,0.16524,0.06552,2.55389,5.82478,3.35853,2.43523,0.000351056,0.000351056,0.000351056
33,259.004,1.08278,1.90599,0.87908,1.11049,0.34399,0.2004,0.19223,0.10582,0.30197,0.18849,0.15086,0.05407,2.51797,5.88282,3.36528,2.41127,0.000333058,0.000333058,0.000333058
34,266.383,1.05007,1.89236,0.9231,1.14807,0.32457,0.2176,0.20304,0.11677,0.26343,0.18417,0.16285,0.05105,2.34424,5.56744,3.32799,2.26529,0.000315059,0.000315059,0.000315059
35,275.185,1.10446,1.99315,0.87841,1.13237,0.31724,0.21786,0.21276,0.12941,0.26429,0.16898,0.17279,0.05696,2.29475,5.38365,3.24591,2.21011,0.000297061,0.000297061,0.000297061
36,281.833,0.98379,1.69096,0.8294,1.09275,0.23996,0.2166,0.19662,0.12573,0.15992,0.16933,0.15196,0.04654,2.32037,5.18797,3.36501,2.233,0.000279063,0.000279063,0.000279063
37,290.13,0.98609,1.82146,0.81778,1.11506,0.38032,0.19202,0.16423,0.09999,0.29831,0.16068,0.13533,0.04996,2.3494,5.03511,3.56322,2.26973,0.000261065,0.000261065,0.000261065
38,296.816,0.97157,1.79334,0.82881,1.10224,0.56786,0.2055,0.20673,0.1143,0.39174,0.16621,0.163,0.06897,2.33533,4.72933,3.65843,2.3056,0.000243067,0.000243067,0.000243067
39,304.811,0.95417,1.69446,0.74464,1.0832,0.24591,0.2756,0.21246,0.1254,0.22654,0.24293,0.18493,0.07578,2.32389,4.68124,3.64286,2.30392,0.000225068,0.000225068,0.000225068
40,311.814,0.95847,1.68933,0.74266,1.08248,0.51721,0.26142,0.2682,0.17919,0.55766,0.2004,0.23911,0.13336,2.32573,4.59375,3.67272,2.32073,0.00020707,0.00020707,0.00020707
41,322.893,1.04611,1.80826,0.83679,1.1293,0.37934,0.2494,0.26063,0.18523,0.30435,0.21268,0.23862,0.1392,2.32318,4.58053,3.58861,2.31438,0.000189072,0.000189072,0.000189072
42,329.271,0.98527,1.74294,0.79738,1.09093,0.34587,0.25939,0.23742,0.15464,0.35202,0.25903,0.22959,0.11907,2.39684,4.59307,3.47148,2.37191,0.000171074,0.000171074,0.000171074
43,335.637,0.98827,1.71039,0.75322,1.10031,0.39031,0.1927,0.23964,0.15329,0.41063,0.1973,0.22716,0.11529,2.42843,4.66821,3.4292,2.41114,0.000153076,0.000153076,0.000153076
44,342.417,0.98867,1.64304,0.72589,1.06992,0.36567,0.22559,0.25414,0.14177,0.5543,0.18571,0.23533,0.13308,2.47399,4.76286,3.39867,2.45975,0.000135077,0.000135077,0.000135077
45,348.333,0.92314,1.61946,0.70415,1.08049,0.53509,0.19469,0.26357,0.12128,0.53395,0.19761,0.24018,0.1174,2.46364,4.77757,3.43076,2.46716,0.000117079,0.000117079,0.000117079
46,355.216,0.93003,1.62721,0.68358,1.04539,0.53982,0.25593,0.27018,0.12915,0.4635,0.19761,0.22016,0.11533,2.46537,4.79375,3.42435,2.51167,9.9081e-05,9.9081e-05,9.9081e-05
47,361.403,0.90205,1.58786,0.63845,1.06071,0.43254,0.23215,0.26074,0.14736,0.47683,0.19761,0.22646,0.13167,2.44335,4.79419,3.38363,2.49338,8.10828e-05,8.10828e-05,8.10828e-05
48,367.559,0.91821,1.64239,0.6397,1.04099,0.46964,0.25187,0.26461,0.17044,0.46312,0.19232,0.22817,0.1341,2.38372,4.8695,3.3349,2.42992,6.30846e-05,6.30846e-05,6.30846e-05
49,374.574,0.87876,1.56939,0.61963,1.03996,0.48458,0.2455,0.26381,0.17114,0.48571,0.19232,0.22502,0.13452,2.37083,4.87397,3.30224,2.41917,4.50864e-05,4.50864e-05,4.50864e-05
50,380.479,0.91669,1.57054,0.64087,1.06147,0.48133,0.24547,0.25868,0.16863,0.46354,0.19232,0.22324,0.13317,2.35274,4.88866,3.29998,2.41175,2.70882e-05,2.70882e-05,2.70882e-05
